,experience,education
Successful completion of 2 graduate courses in the Department of Computer Science.
Carleton University
Degree Name
Bachelor of Computer Science Honours with High Distinction
Dates attended or expected graduation
2013 дус 2016
University of Toronto
Degree Name
Honours Bachelor of Science
Dates attended or expected graduation
2007 дус 2012"

shuyanmei,"Experience
Data Scientist
Company Name
Scotiabank
Dates Employed
Oct 2018 дус Present
Employment Duration
11 mos
Location
Toronto, Canada Area
I am currently working at the Artificial Intelligence and Machine Learning team under decision science department.

дуў NLP on equity research data
дуў Leverage machine learning, deep learning and distributed computing to predict capital market risk
дуў Build and deploy scalable micro-services
Data Scientist, Predictive Analytics
Company Name
InMoment
Dates Employed
Jul 2017 дус Sep 2018
Employment Duration
1 yr 3 mos
Location
Ontario, Canada
Provide statistical analysis to locate drivers of customers loyalty and employee engagement.

Leverage machine learning techniques on numerous data from financial data ... See more
Statistician
Company Name
University of Toronto
Dates Employed
Jun 2017 дус Feb 2018
Employment Duration
9 mos
Location
Toronto, Canada Area
Analyze more than 5 yearsду» student enrollment and geospatial data to discover enrollment behavior for undergraduate engineering programs

Develop forecasting models (logistic regression, boosting and neural network... See more
Biostatistician
Company Name
University Health Network
Dates Employed
Sep 2016 дус Feb 2017
Employment Duration
6 mos
Location
Toronto, Canada Area
Import, clean, transform and merge various cancer datasets and perform data visualization.

Execute statistical analysis(survival analysis, linear mixed model, non parame... See more
Graduate Research Assistant
Company Name
Jewish General Hospital
Dates Employed
Jan 2015 дус May 2016
Employment Duration
1 yr 5 mos
Analyze large scale genetic data on coronary artery disease and successfully identified genes associated with the disease using statistical methods (logistic regression, meta analysis etc) and machine learning techniques (PCA, Clustering, Classification etc)
... See more
Show 3 more experiences","Education
McGill University
Degree Name
Masterду»s Degree
Field Of Study
Biostatistics
Dates attended or expected graduation
2014 дус 2016
Queen's University
Degree Name
Bachelor of Science Honours with Distinction
Field Of Study
Mathematics and Statistics
Dates attended or expected graduation
2012 дус 2014
Sichuan University
Degree Name
Bachelor's Degree
Field Of Study
Mathematics
Dates attended or expected graduation
2010 дус 2012"

speruzzo,"Experience
Mentor
Company Name
Springboard
Dates Employed
Jan 2018 дус Present
Employment Duration
1 yr 8 mos
Senior Data Scientist
Company Name
Bardess Group Ltd
Dates Employed
Apr 2018 дус Present
Employment Duration
1 yr 5 mos
Location
Toronto, Canada Area
Data Scientist
Company Name
Eggbun Education
Dates Employed
Jun 2017 дус Mar 2018
Employment Duration
10 mos
Location
London, United Kingdom
Data Scientist
Company Name
BulbThings
Dates Employed
Oct 2016 дус May 2017
Employment Duration
8 mos
Location
London, United Kingdom
PhD Student
Company Name
Eindhoven University of Technology
Dates Employed
Dec 2015 дус Sep 2016
Employment Duration
10 mos
Show 3 more experiences","Education
Universitнж degli Studi di Roma 'La Sapienza'
Degree Name
Master
Field Of Study
Statistics for Business Strategy
Dates attended or expected graduation
2009 дус 2011
Universitнж degli Studi di Roma 'La Sapienza'
Degree Name
Bachelor of Science
Field Of Study
Statistics and IT for Business Administration
Dates attended or expected graduation
2005 дус 2009"

thomas-naraindas-b3979145,"Experience
Sr. Data Scientist
Company Name
Munich Re Canada
Dates Employed
Apr 2018 дус Present
Employment Duration
1 yr 5 mos
Data Scientist/Statistician, Marketing Intelligence
Company Name
autoTRADER.ca
Dates Employed
Apr 2015 дус Apr 2018
Employment Duration
3 yrs 1 mo
Location
Toronto, Canada Area
Developed and implemented predictive models to support business objectives. Responsible for full modelling process, including working with stakeholders to determine business needs, data extraction and cleaning (SQL, GA), model building and testing (SAS, R), and implementation (Microsoft Azure)... See more
Associate, Governance Advisory & Proxy Analytics
Company Name
Kingsdale Shareholder Services
Dates Employed
2013 дус 2014
Employment Duration
1 yr
Intern Analyst
Company Name
Sun Life Global Investments
Dates Employed
May 2010 дус Aug 2011
Employment Duration
1 yr 4 mos
Intern
Company Name
Kingsdale Shareholder Services
Dates Employed
May 2007 дус Aug 2009
Employment Duration
2 yrs 4 mos","Education
York University - Schulich School of Business
Degree Name
Master's Degree
Field Of Study
Business Analytics
Dates attended or expected graduation
2014 дус 2015
Queen's University
Degree Name
Bachelor of Science (B.Sc.)
Field Of Study
Astrophysics
Dates attended or expected graduation
2008 дус 2012"

vijaydakshinamoorthy,"Experience
Director, Data Science
Company Name
Omnicom Media Group
Dates Employed
Dec 2018 дус Present
Employment Duration
9 mos
Location
Toronto, Canada Area
I lead strategic analytics and data science efforts for clients by applying analytical techniques to digital marketing strategy. Initiatives are aimed at delivering cost savings, better ROI on media spend and efficiency in media buying.
Member
Company Name
ACM, Association for Computing Machinery
Dates Employed
Jun 2017 дус Present
Employment Duration
2 yrs 3 mos
ACM, the Association for Computing Machinery www.acm.org, is the world's largest educational and scientific computing society, uniting educators, researchers and professionals to inspire dialogue, share resources and address the field's challenges. ACM strengthens the computing profession's collective voice through strong ... See more
Lead Data Scientist
Company Name
TELUS
Dates Employed
Mar 2014 дус Dec 2018
Employment Duration
4 yrs 10 mos
Location
Toronto, Canada Area
I worked at the intersection of Economics, Technology and Corporate Strategy. We were an internal
strategy consulting group where we used data science and analytical techniques to drive strategic... See more
Subject Matter Expert, Centre for Academic and Faculty Enrichment
Company Name
Durham College
Dates Employed
Jun 2017 дус Dec 2017
Employment Duration
7 mos
Location
Oshawa, Ontario
I developed course content for 3 courses in the Data Analytics for Business Decision Making program. I developed instructional materials including lesson plans, assignments, quizzes and term projects for Introduction to Data Analytics, Statistical and Predictive Modelling for Analytics I and Statistical and Predictive Modelli... See more
Predictive Modeling Specialist
Company Name
Bell Mobility
Dates Employed
2011 дус Feb 2014
Employment Duration
3 yrs
Location
Toronto, Canada Area
I worked on data science and analytical problems involving customer experience strategy.

I led engagements that generated OPEX savings by developing advanced ana... See more
Show 5 more experiences","Education
University of Michigan - Stephen M. Ross School of Business
Degree Name
Master of Arts
Field Of Study
Business Administration
Dates attended or expected graduation
2004 дус 2008
University of Michigan-Dearborn
Degree Name
Master of Science in Engineering
Field Of Study
Computer Engineering
Dates attended or expected graduation
1998 дус 1999
Activities and Societies: Formula SAE
Anna University
Degree Name
Bachelor of Engineering
Field Of Study
Electrical Engineering
Dates attended or expected graduation
1992 дус 1996"

weili001,"Experience
Company Name
TELUS Communications
Total Duration
8 yrs 1 mo
Title
Data Scientist
Dates Employed
Oct 2016 дус Present
Employment Duration
2 yrs 11 mos
Location
Toronto, Ontario, Canada
Title
Sr. Systems Analyst (Data Science)
Dates Employed
Jun 2014 дус Sep 2016
Employment Duration
2 yrs 4 mos
Location
Toronto, Canada Area
Title
Systems Analyst III
Dates Employed
Aug 2011 дус May 2014
Employment Duration
2 yrs 10 mos
Location
Toronto, Canada Area
SAS(Statistical) Developer
Company Name
TELUS Communications
Dates Employed
Jul 2008 дус Jul 2011
Employment Duration
3 yrs 1 mo
Forecast Modelor (Intern)
Company Name
Generation5
Dates Employed
Jan 2008 дус Jul 2008
Employment Duration
7 mos","Education
Carleton University
Degree Name
MSc
Field Of Study
Statistics
Dates attended or expected graduation
2006 дус 2008
Shandong University of Finance and Economics
Degree Name
BSc
Field Of Study
Statistics"

winston-chong-17594a4a,"Experience
Company Name
TD
Total Duration
6 yrs 10 mos
Title
Data Scientist II - NLP, Personal Banking Strategic Analytics, Canadian Personal Banking
Dates Employed
Jul 2018 дус Present
Employment Duration
1 yr 2 mos
Location
77 King St W, Toronto, ON M5K 2A1
Focus on building out NLP tools, including:
дуў Building automated infrastructure to analyze and evaluate customer text feedback from social media and customer experience surveys
дуў Applying information extraction techniques for structured documents
дуў Analyzing metadata for data field classification
Title
Risk Manager, Model Development
Dates Employed
Feb 2018 дус Jul 2018
Employment Duration
6 mos
Location
66 Wellington Street West, Toronto, ON, M5K 1A1
Non-retail and operational risk model development
дуў Responsible for the risk model underlying the Automated Account Monitoring (AAM) program
дуў Primary tasks: model recalibration and redevelopment and coordinating wit... See more
Title
Senior Analyst, Model Development
Dates Employed
May 2016 дус Feb 2018
Employment Duration
1 yr 10 mos
Location
66 Wellington Street West, Toronto, ON, M5K 1A1
Non-retail and operational risk model development
Title
Senior Analyst, Model Validation and Management
Dates Employed
Sep 2014 дус May 2016
Employment Duration
1 yr 9 mos
Location
66 Wellington Street West, Toronto, ON, M5K 1A1
дуў Validation of regulatory models, setting the standard for review of the AML models and credit card balance models for CCAR as part of TDду»s first round of Federal Reserve stress testing (DFAST)
дуў Standardized SAS code used for retail scorecard validation, as well as progr... See more
Title
Risk Analyst, Model Validation and Management
Dates Employed
Nov 2012 дус Sep 2014
Employment Duration
1 yr 11 mos
Location
66 Wellington Street West, Toronto, ON, M5K 1A1
Retail Credit Risk Model Validation
дуў Validated credit scoring models using SAS
Teaching Assistant STA220
Company Name
University of Toronto
Dates Employed
Sep 2011 дус Dec 2011
Employment Duration
4 mos
дуў Conducted tutorials and held office hours in aid centre and computing lab
дуў Responsible for grading, proctoring exams, and devising tutorial quizzes
Research Assistant
Company Name
University of Toronto
Dates Employed
Jun 2010 дус Sep 2010
Employment Duration
4 mos
дуў Ran simulations in R to compare quantile regression vs OLS for parameter estimation
дуў Tested effects of contamination and systematic errors on estimators, standard errors, confidence intervals and their coverage levels
Research Analyst
Company Name
Rational Capital Investment Fund
Dates Employed
Sep 2009 дус Apr 2010
Employment Duration
8 mos
дуў Analyzed company fundamentals in light of economic and industry environment
дуў Prepared analyst reports and presented to investors potential opportunities
дуў Conducted research on Oracle, ATCO and Agrium during CF Industries merger event","Education
University of Toronto
Degree Name
Master of Science (MSc)
Field Of Study
Statistics
Dates attended or expected graduation
2011 дус 2012
Course work: Probability Theory, Applied Stochastic Processes, Mathematical Statistics, Statistical Machine Learning, Topics course in Monte Carlo Methods (focusing on MCMC algorithms)
University of Toronto
Degree Name
Honors Bachelor of Science (BSc)
Field Of Study
Economics and Statistics
Dates attended or expected graduation
2006 дус 2011
Activities and Societies: Rational Capital Investment Club (Equity Analyst), Varsity Blues Badminton Team
Related course work: Statistical Methods for Machine Learning and Data Mining, Nonparametric Methods of Inference, Multivariate Data Analysis, Time Series Analysis, Financial Economics, Applied Econometrics
MGCI"

zhuoxin-melo-mi-97668a6b,"Experience
Data Scientist
Company Name
RBC Ventures
Dates Employed
Jun 2018 дус Present
Employment Duration
1 yr 3 mos
Location
Toronto, Ontario, Canada
My duties within RBC Ventures are two-fold:
1. Strategic Partnership
- Research in credit/debit transaction data to gain understanding in Canadian's shopping patterns
- Research in feature generation/engineering to measure brand loyalty on time/seasonal dimensions.
- Develop unsupervised/semi-supervised segmentation based consumers demographic, loyalty and behavioral measures.... See more
Data Scientist
Company Name
McKinsey & Company
Dates Employed
Jun 2017 дус Mar 2018
Employment Duration
10 mos
Location
Shanghai City, China
Consultant specialized in machine learning and data solutions.

I provided predictive solutions to manufacturing companies and retailers.
My work included optimization, predictive modelling and market sizing analytics.
Senior Analyst, Customer Intelligence
Company Name
Rogers Communications
Dates Employed
Jun 2016 дус May 2017
Employment Duration
1 yr
Location
Toronto, Canada Area
- Designed and implemented Customer Journey KPI dashboard with Oracle Exadata and Tableau; designed optimization algorithm that reduces execution time from over 12 hours to less than 3 hours.
... See more
Data Analytics Lead
Company Name
VarageSale
Dates Employed
Sep 2015 дус Jun 2016
Employment Duration
10 mos
Location
Toronto, Canada Area
VarageSale is a startup that operates an online buy and sell platform targeting at families and moms. Working as an all-around data analyst, my job was to help the organization moving towards a data-driven culture by designing and integrating data oriented decision making processes into business operations.
Data Analyst
Company Name
Avid Life Media
Dates Employed
Mar 2014 дус Sep 2015
Employment Duration
1 yr 7 mos
Location
Toronto, Canada Area
As a data analyst working in a strong data driven environment, my duty was to ensure ROI and funnel metrics are optimized and revenue stays growing.","Education
University of Toronto
Degree Name
Master of Science (MSc)
Field Of Study
Mathematics and Statistics
Dates attended or expected graduation
2012 дус 2013
The University of British Columbia
Degree Name
Bachelor of Science (BS)
Field Of Study
Applied Mathematics
Dates attended or expected graduation
2009 дус 2012"
